,median_freq,time,25th_Percentile,75th_Percentile,diversity,median_depth,relative_abundance
HouseholdTransmission-Stool-XGA-001,0.0,1,0.0,0.007409999999999999,5.564221711978336e-06,124.0,0.0916004885888
HouseholdTransmission-Stool-XGA-008,0.0,8,0.0,0.0,5.136191466945505e-06,55.0,0.169846224736
HouseholdTransmission-Stool-XGA-015,0.0,15,0.0,0.0,8.346261121125435e-06,66.0,0.110092099795
HouseholdTransmission-Stool-XGA-022,0.0,22,0.0,0.0,7.4905677700558335e-06,26.0,0.12490003647299999
HouseholdTransmission-Stool-XGA-023,0.0,23,0.0,0.0,6.634393552225517e-06,31.0,0.205185562837
HouseholdTransmission-Stool-XGA-024,0.0,24,0.0,0.00885,6.4201472781785625e-06,121.0,0.24366997563099999
HouseholdTransmission-Stool-XGA-025,0.0,25,0.0,0.00806,4.066122861968396e-06,89.0,0.3151562181
HouseholdTransmission-Stool-XGA-026,0.0,26,0.0,0.0,6.848432629186051e-06,32.0,0.276799588352
HouseholdTransmission-Stool-XGA-027,0.0,27,0.0,0.0,6.206312376114515e-06,39.0,0.278955423484
HouseholdTransmission-Stool-XGA-028,0.0,28,0.0,0.0,5.350443337734965e-06,27.0,0.143381921084
HouseholdTransmission-Stool-XGA-029,0.0060149999999999995,29,0.00212,0.0117,5.136112326776587e-06,447.0,0.225239450622
HouseholdTransmission-Stool-XGA-030,0.0,30,0.0,0.0,5.778199324763907e-06,56.0,0.234264002756
HouseholdTransmission-Stool-XGA-031,0.0,31,0.0,0.01,4.494140603682927e-06,100.0,0.314443477874
HouseholdTransmission-Stool-XGA-032,0.0,32,0.0,0.0112,4.280120168653856e-06,80.0,0.31130684591200003
HouseholdTransmission-Stool-XGA-033,1.0,33,0.955,1.0,0.00014298656269306942,12.0,0.07878125550139999
HouseholdTransmission-Stool-XGA-036,0.986,36,0.973,0.995,1.1772378703296033e-05,242.0,0.144103262846
HouseholdTransmission-Stool-XGA-037,1.0,37,1.0,1.0,1.7989039535197487e-05,21.0,0.172732431132
HouseholdTransmission-Stool-XGA-038,1.0,38,1.0,1.0,1.3703810130284692e-05,30.0,0.137049672417
HouseholdTransmission-Stool-XGA-039,1.0,39,1.0,1.0,1.049095080557656e-05,49.0,0.10572656503599999
HouseholdTransmission-Stool-XGA-040,1.0,40,1.0,1.0,7.903140480999265e-05,15.0,0.09113221046730001
HouseholdTransmission-Stool-XGA-044,0.965,44,0.9329999999999999,0.986,5.243904709903981e-05,61.0,0.08957711831569999
HouseholdTransmission-Stool-XGA-050,0.258,50,0.182,0.322,0.0015577497353815705,59.0,0.126737616958
HouseholdTransmission-Stool-XGA-057,0.0192,57,0.0,0.04,7.062199789632048e-06,70.0,0.139496781025
HouseholdTransmission-Stool-XGA-064,0.0187,64,0.008,0.0332,8.132191773346399e-06,209.0,0.11155184728499999
